continent,name,latitude,longitude,capital_city,population,languages,currency,points_of_interest,geography_nature,neighbor_countries
Asia,Afghanistan,33.9391,67.71,Kabul,"39,835,428 (2021)","Dari Persian (50%), Pashto (35%), Turkic languages (11%), others (4%)",Afghan afghani (؋),"Band-e Amir National Park, Bamiyan Buddhas, Wakhan Corridor","Hindu Kush, Amu Darya River, Helmand River, Pamir Mountains","Iran, Pakistan, Tajikistan, Turkmenistan, Uzbekistan"
Asia,Armenia,40.0691,45.0382,Yerevan,"2,962,473 (2021)","Armenian (97.9%), Russian (0.5%), others (1.6%)",Armenian dram (֏),"Tatev Monastery, Lake Sevan, Khor Virap","Caucasus Mountains, Aras River, Mount Ararat, Lake Arpi","Azerbaijan, Georgia, Iran, Turkey"
Asia,Azerbaijan,40.1431,47.5769,Baku,"10,067,108 (2021)","Azerbaijani (92%), Russian (1.3%), Armenian (1.3%), others (4.4%)",Azerbaijani manat (₼),"Maiden Tower, Baku Old City, Heydar Aliyev Center","Caucasus Mountains, Caspian Sea, Kura River, Lesser Caucasus","Armenia, Georgia, Iran, Russia, Turkey"
Asia,Bahrain,26.0667,50.5577,Manama,"1,761,797 (2021)","Arabic (official), English, Farsi, Urdu",Bahraini dinar (BHD),"Bahrain National Museum, Al Fateh Grand Mosque, Tree of Life","Persian Gulf, Bahrain Island, Muharraq Island, Hawar Islands",None (Island Nation)
Asia,Bangladesh,23.685,90.3563,Dhaka,"169,872,296 (2021)","Bengali (98%), others (2%)",Bangladeshi taka (৳),"Cox's Bazar Beach, Sundarbans National Park, Lalbagh Fort","Ganges-Brahmaputra Delta, Bay of Bengal, Chittagong Hill Tracts, Sylhet Division","India, Myanmar"
Asia,Bhutan,27.5142,90.4336,Thimphu,"771,608 (2021)","Dzongkha (official), English",Bhutanese ngultrum (BTN),"Paro Valley, Punakha Dzong, Tiger's Nest Monastery","Himalayas, Paro River, Punakha River, Phobjikha Valley","China, India"
Asia,Brunei,4.5353,114.7277,Bandar Seri Begawan,"459,500 (2021)","Malay (official), English, Chinese",Brunei dollar (BND),"Omar Ali Saifuddin Mosque, Kampong Ayer, Istana Nurul Iman","South China Sea, Temburong District, Kuala Belait, Seria",Malaysia
Asia,Cambodia,12.5657,104.991,Phnom Penh,"15,936,285 (2021)","Khmer (official), French, English",Cambodian riel (៛),"Angkor Wat, Royal Palace, Sihanoukville Beaches","Mekong River, Tonle Sap Lake, Cardamom Mountains, Elephant Mountains","Laos, Thailand, Vietnam"
Asia,China,35.8617,104.1954,Beijing,"1,444,216,107 (2021)","Standard Chinese (Mandarin) (70%), Yue (Cantonese), Wu, Minbei, Minnan, Xiang, Gan, Hakka, minority languages",Chinese yuan (CNY),"The Great Wall, Forbidden City, Terracotta Army","Himalayas, Yellow River, Yangtze River, Gobi Desert","Afghanistan, Bhutan, India, Kazakhstan, Kyrgyzstan, Laos, Mongolia, Myanmar, Nepal, North Korea, Pakistan, Russia, Tajikistan, Vietnam"
Asia,Cyprus,35.1264,33.4299,Nicosia,"1,223,355 (2021)","Greek (80.9%), Turkish (0.2%), others (18.9%)",Euro (EUR),"Petra tou Romiou, Kykkos Monastery, Paphos Archaeological Park","Troodos Mountains, Akamas Peninsula, Famagusta, Larnaca Salt Lake",None (Island Nation)
Asia,Georgia,42.3154,43.3569,Tbilisi,"3,736,268 (2021)","Georgian (87.7%), Russian (6.2%), Armenian (3.9%), others (2.2%)",Georgian lari (GEL),"Tbilisi Old Town, Narikala Fortress, Batumi Boulevard","Caucasus Mountains, Black Sea, Svaneti Region, Tusheti Region","Armenia, Azerbaijan, Russia, Turkey"
Asia,India,20.5937,78.9629,New Delhi,"1,393,409,038 (2021)","Hindi (41%), Bengali, Telugu, Marathi, Tamil, Urdu, Gujarati, Kannada, Odia, Punjabi, Malayalam, others",Indian rupee (INR),"Taj Mahal, Jaipur, Golden Temple","Himalayas, Ganges River, Thar Desert, Sundarbans Delta","Bangladesh, Bhutan, China, Myanmar, Nepal, Pakistan"
Asia,Indonesia,-0.7893,113.9213,Jakarta,"276,361,783 (2021)","Indonesian (official), Javanese, Sundanese, Madurese, others",Indonesian rupiah (IDR),"Bali, Borobudur, Raja Ampat Islands","Mount Bromo, Komodo Island, Bali Strait, Lake Toba","East Timor, Malaysia, Papua New Guinea, Philippines"
Asia,Iran,32.4279,53.688,Tehran,"85,029,746 (2021)","Persian (official), Azerbaijani, Kurdish, Mazandarani, Gilaki, Luri, Balochi, Arabic, others",Iranian rial (IRR),"Persepolis, Naqsh-e Jahan Square, Golestan Palace","Caspian Sea, Alborz Mountains, Dasht-e Lut Desert, Zagros Mountains","Afghanistan, Armenia, Azerbaijan, Iraq, Pakistan, Turkey, Turkmenistan"
Asia,Iraq,33.2232,43.6793,Baghdad,"41,179,350 (2021)","Arabic (official), Kurdish, Turkmen, Assyrian Neo-Aramaic, Armenian, others",Iraqi dinar (IQD),"Babylon, Al-Mutanabbi Street, Erbil Citadel","Tigris River, Euphrates River, Zagros Mountains, Mesopotamian Marshes","Iran, Jordan, Kuwait, Saudi Arabia, Syria, Turkey"
